user_id,user_project_cycle_id,project_id,os,source,os_env,dbm_version,extracted_at,record_type,value,extra_value,unit,start_time,end_time,session_id,is_aggregated,hardware_model,software_version,app_version
20008,26,10,iOS,iPhone,prod,2.4,2023-10-03 00:45:31.079000 UTC,bodyMassIndex,21.3,,count,2023-10-01 01:16:17.000000 UTC,2023-10-01 01:16:17.000000 UTC,,false,"iPhone13,3",202307251503,1.1.6
20008,26,10,iOS,iPhone,prod,2.4,2023-10-03 00:45:31.079000 UTC,bodyMassIndex,21.3,,count,2023-10-01 01:16:17.000000 UTC,2023-10-01 01:16:17.000000 UTC,,false,"iPhone13,3",202307251503,1.1.6
20008,26,10,iOS,iPhone,prod,2.4,2023-10-03 00:45:31.079000 UTC,bodyMassIndex,21.3,,count,2023-10-02 01:28:53.000000 UTC,2023-10-02 01:28:53.000000 UTC,,false,"iPhone13,3",202307251503,1.1.6
20005,23,10,iOS,Apple Watch,prod,2.4,2023-10-01 00:41:52.224000 UTC,heartRate,52.0,,count/min,2023-10-01 00:34:19.840000 UTC,2023-10-01 00:34:19.840000 UTC,,false,"Watch6,14",9.0,1.1.6
20005,23,10,iOS,Apple Watch,prod,2.4,2023-10-01 00:41:52.224000 UTC,heartRate,54.0,,count/min,2023-10-01 00:31:39.840000 UTC,2023-10-01 00:31:39.840000 UTC,,false,"Watch6,14",9.0,1.1.6
20005,23,10,iOS,Apple Watch,prod,2.4,2023-10-01 00:41:52.224000 UTC,heartRate,48.0,,count/min,2023-10-01 00:22:38.961000 UTC,2023-10-01 00:22:38.961000 UTC,,false,"Watch6,14",9.0,1.1.6
20005,23,10,iOS,Apple Watch,prod,2.4,2023-10-01 00:41:52.224000 UTC,heartRate,48.0,,count/min,2023-10-01 00:20:47.956000 UTC,2023-10-01 00:20:47.956000 UTC,,false,"Watch6,14",9.0,1.1.6
20005,23,10,iOS,Apple Watch,prod,2.4,2023-10-01 00:41:52.224000 UTC,heartRate,50.0,,count/min,2023-10-01 00:12:18.950000 UTC,2023-10-01 00:12:18.950000 UTC,,false,"Watch6,14",9.0,1.1.6
20005,23,10,iOS,Apple Watch,prod,2.4,2023-10-01 00:41:52.224000 UTC,heartRate,52.0,,count/min,2023-10-01 00:07:47.952000 UTC,2023-10-01 00:07:47.952000 UTC,,false,"Watch6,14",9.0,1.1.6
20005,23,10,iOS,Apple Watch,prod,2.4,2023-10-01 00:41:52.224000 UTC,heartRate,53.0,,count/min,2023-10-01 00:04:54.963000 UTC,2023-10-01 00:04:54.963000 UTC,,false,"Watch6,14",9.0,1.1.6
20005,23,10,iOS,Apple Watch,prod,2.4,2023-10-01 00:41:52.224000 UTC,heartRate,41.0,,count/min,2023-10-01 00:01:56.101000 UTC,2023-10-01 00:01:56.101000 UTC,,false,"Watch6,14",9.0,1.1.6
19,19,10,iOS,Apple Watch,prod,2.4,2023-10-01 13:41:02.438000 UTC,heartRate,124.00000000000001,,count/min,2023-10-01 02:08:01.507000 UTC,2023-10-01 02:08:01.507000 UTC,,false,"Watch6,14",9.6.2,1.1.6
