65세이상고령자,등록외국인 계,세대,여자,한국인 계,합계,고령자비율,외국인비율,여성비율,세대당인구
286874,20511,876524,1097300,2102113,2122624,13.51506437315323,0.9663039709340892,51.69544865223421,2.3982378120850085
454108,124791,1360162,1554745,2950352,3075143,14.767053109400116,4.0580551863766985,50.55846183413259,2.169118090345121
188566,29239,526451,626811,1165231,1194470,15.786583170778673,2.447863906167589,52.476077256021505,2.2133702851737387
497385,67938,1342778,1580313,3008988,3076926,16.164997143252712,2.207982902416243,51.36012370788248,2.2408678128476933
91306,37647,248091,279617,506971,544618,16.765145478114935,6.912551549893688,51.341857962828996,2.0434880749402438
